# Z, sigma, counts
1.000000000000000056e-01 1.393654297000000042e+03 6.902676999999999730e+00
1.000000000000000056e-01 1.392537109000000100e+03 4.601784000000000319e+00
1.000000000000000056e-01 1.391419922000000042e+03 4.600977000000000317e+00
1.000000000000000056e-01 1.390302734000000100e+03 4.600169000000000175e+00
1.000000000000000056e-01 1.389185547000000042e+03 4.599361000000000033e+00
1.000000000000000056e-01 1.388068359000000100e+03 4.598554000000000030e+00
1.000000000000000056e-01 1.386949219000000085e+03 2.298872999999999944e+00
1.000000000000000056e-01 1.385832030999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.384712890999999900e+03 -2.298064000000000107e+00
1.000000000000000056e-01 1.383595702999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.382476562999999942e+03 4.594510999999999790e+00
1.000000000000000056e-01 1.381357422000000042e+03 9.187404000000000792e+00
1.000000000000000056e-01 1.380238280999999915e+03 4.592893000000000114e+00
1.000000000000000056e-01 1.379119140999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.378000000000000000e+03 4.591273000000000160e+00
1.000000000000000056e-01 1.376878905999999915e+03 2.295231999999999939e+00
1.000000000000000056e-01 1.375759765999999900e+03 2.294827000000000172e+00
1.000000000000000056e-01 1.374640625000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.373519530999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.372398437999999942e+03 2.293610999999999844e+00
1.000000000000000056e-01 1.371277344000000085e+03 4.586411000000000016e+00
1.000000000000000056e-01 1.370158202999999958e+03 2.292800000000000171e+00
1.000000000000000056e-01 1.369037109000000100e+03 6.877183999999999742e+00
1.000000000000000056e-01 1.367914062999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.366792969000000085e+03 2.291583000000000148e+00
1.000000000000000056e-01 1.365671875000000000e+03 6.873531999999999975e+00
1.000000000000000056e-01 1.364550780999999915e+03 4.581542999999999921e+00
1.000000000000000056e-01 1.363427734000000100e+03 6.871096999999999788e+00
1.000000000000000056e-01 1.362304687999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.361183594000000085e+03 2.289553000000000171e+00
1.000000000000000056e-01 1.360060547000000042e+03 6.867441000000000351e+00
1.000000000000000056e-01 1.358937500000000000e+03 6.866221999999999603e+00
1.000000000000000056e-01 1.357814452999999958e+03 2.288333999999999868e+00
1.000000000000000056e-01 1.356691405999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.355568359000000100e+03 2.287520999999999916e+00
1.000000000000000056e-01 1.354443359000000100e+03 -2.287113999999999869e+00
1.000000000000000056e-01 1.353320312999999942e+03 2.286707999999999963e+00
1.000000000000000056e-01 1.352195312999999942e+03 4.572600999999999694e+00
1.000000000000000056e-01 1.351072265999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.349947265999999900e+03 2.285486999999999824e+00
1.000000000000000056e-01 1.348822265999999900e+03 6.855239000000000082e+00
1.000000000000000056e-01 1.347697265999999900e+03 2.284672000000000036e+00
1.000000000000000056e-01 1.346572265999999900e+03 2.284264999999999990e+00
1.000000000000000056e-01 1.345447265999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.344322265999999900e+03 -2.283450999999999897e+00
1.000000000000000056e-01 1.343195312999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.342070312999999942e+03 4.565271000000000079e+00
1.000000000000000056e-01 1.340943359000000100e+03 4.564455999999999847e+00
